name,tag,symbol,currency,status
Bitcoin,bitcoin,BTC,USD,available
Ethereum,ethereum,ETH,USD,available
Binance Coin,binance-coin,BNB,USD,available
Tether,tether,USDT,USD,available
Cardano,cardano,ADA,USD,available
Polkadot,polkadot-new,DOT,USD,available
XRP,xrp,XRP,USD,available
Uniswap,uniswap,UNI,USD,available
Litecoin,litecoin,LTC,USD,available
Chainlink,chainlink,LINK,USD,available
THETA,theta,THETA,USD,available
USD Coin,usd-coin,USDC,USD,available
Bitcoin Cash,bitcoin-cash,BCH,USD,available
Stellar,stellar,XLM,USD,available
Terra,terra-luna,LUNA,USD,available
Wrapped Bitcoin,wrapped-bitcoin,WBTC,USD,available
Dogecoin,dogecoin,DOGE,USD,available
VeChain,vechain,VET,USD,available
Crypto.com Coin,crypto-com-coin,CRO,USD,available
Filecoin,filecoin,FIL,USD,available
Aave,aave,AAVE,USD,available
TRON,tron,TRX,USD,available
IOTA,iota,MIOTA,USD,available
Cosmos,cosmos,ATOM,USD,available
Solana,solana,SOL,USD,available
EOS,eos,EOS,USD,available
Avalanche,avalanche,AVAX,USD,available
Monero,monero,XMR,USD,available
Bitcoin SV,bitcoin-sv,BSV,USD,available
Kusama,kusama,KSM,USD,available
FTX Token,ftx-token,FTT,USD,available
Tezos,tezos,XTZ,USD,available
NEM,nem,XEM,USD,available
BitTorrent,bittorrent,BTT,USD,available
Algorand,algorand,ALGO,USD,available
Neo,neo,NEO,USD,available
Chiliz,chiliz,CHZ,USD,available
Dai,multi-collateral-dai,DAI,USD,available
Huobi Token,huobi-token,HT,USD,available
Hedera Hashgraph,hedera-hashgraph,HBAR,USD,available
Elrond,elrond-egld,EGLD,USD,available
SushiSwap,sushiswap,SUSHI,USD,available
Synthetix,synthetix-network-token,SNX,USD,available
Dash,dash,DASH,USD,available
Theta Fuel,theta-fuel,TFUEL,USD,available
UNUS SED LEO,unus-sed-leo,LEO,USD,available
The Graph,the-graph,GRT,USD,available
Decred,decred,DCR,USD,available
Maker,maker,MKR,USD,available
Zilliqa,zilliqa,ZIL,USD,available
Compound,compound,COMP,USD,available
Polygon,polygon,MATIC,USD,available
NEAR Protocol,near-protocol,NEAR,USD,available
Enjin Coin,enjin-coin,ENJ,USD,available
Ravencoin,ravencoin,RVN,USD,available
Basic Attention Token,basic-attention-token,BAT,USD,available
Pundi X,pundi-x,NPXS,USD,available
Zcash,zcash,ZEC,USD,available
PancakeSwap,pancakeswap,CAKE,USD,available
Harmony,harmony,ONE,USD,available
Decentraland,decentraland,MANA,USD,available
Nexo,nexo,NEXO,USD,available
UMA,uma,UMA,USD,available
Ethereum Classic,ethereum-classic,ETC,USD,available
Bancor,bancor,BNT,USD,available
SwissBorg,swissborg,CHSB,USD,available
THORChain,thorchain,RUNE,USD,available
yearn.finance,yearn-finance,YFI,USD,available
Holo,holo,HOT,USD,available
Reserve Rights,reserve-rights,RSR,USD,available
ICON,icon,ICX,USD,available
Celsius,celsius,CEL,USD,available
0x,0x,ZRX,USD,available
Waves,waves,WAVES,USD,available
Fantom,fantom,FTM,USD,available
Ren,ren,REN,USD,available
Siacoin,siacoin,SC,USD,available
Revain,revain,REV,USD,available
Voyager Token,voyager-token,VGX,USD,available
Ontology,ontology,ONT,USD,available
DigiByte,digibyte,DGB,USD,available
Dent,dent,DENT,USD,available
OKB,okb,OKB,USD,available
IOST,iostoken,IOST,USD,available
OMG Network,omg,OMG,USD,available
Paxos Standard,paxos-standard,PAX,USD,available
Celo,celo,CELO,USD,available
1inch,1inch,1INCH,USD,available
Nano,nano,NANO,USD,available
Nano,nano,NANO,USD,available
Qtum,qtum,QTUM,USD,available
Loopring,loopring,LRC,USD,available
Ocean Protocol,ocean-protocol,OCEAN,USD,available
Curve DAO Token,curve-dao-token,CRV,USD,available
Kyber Network,kyber-network,KNC,USD,available
Horizen,horizen,ZEN,USD,available
MVL,mvl,MVL,USD,available
Bitcoin Gold,bitcoin-gold,BTG,USD,available
Lisk,lisk,LSK,USD,available
Verge,verge,XVG,USD,available
Fetch.ai,fetch,FET,USD,available
Energy Web Token,energy-web-token,EWT,USD,available
Quant,quant,QNT,USD,available
Ankr,ankr,ANKR,USD,available
Golem,golem-network-tokens,GLM,USD,available
Bitpanda Ecosystem Token,bitpanda-ecosystem-token,BEST,USD,available
Electroneum,electroneum,ETN,USD,available
Celer Network,celer-network,CELR,USD,available
StormX,stormx,STMX,USD,available
Augur,augur,REP,USD,available
Mixin,mixin,XIN,USD,available
IoTeX,iotex,IOTX,USD,available
Venus,venus,XVS,USD,available
FunFair,funfair,FUN,USD,available
Status,status,SNT,USD,available
WAX,wax,WAXP,USD,available
Telcoin,telcoin,TEL,USD,available
Kin,kin,KIN,USD,available
COTI,coti,COTI,USD,available
Stacks,blockstack,STX,USD,available
Kava.io,kava,KAVA,USD,available
Polymath,polymath-network,POLY,USD,available
Swipe,swipe,SXP,USD,available
MaidSafeCoin,maidsafecoin,MAID,USD,available
Civic,civic,CVC,USD,available
TrueUSD,trueusd,TUSD,USD,available
Band Protocol,band-protocol,BAND,USD,available
Ardor,ardor,ARDR,USD,available
Steem,steem,STEEM,USD,available
Orchid,orchid,OXT,USD,available
Aragon,aragon,ANT,USD,available
QuarkChain,quarkchain,QKC,USD,available
OriginTrail,origintrail,TRAC,USD,available
Utrust,utrust,UTK,USD,available
Serum,serum,SRM,USD,available
MediBloc,medibloc,MED,USD,available
Hifi Finance,mainframe,MFT,USD,available
Storj,storj,STORJ,USD,available
Origin Protocol,origin-protocol,OGN,USD,available
BitShares,bitshares,BTS,USD,available
Numeraire,numeraire,NMR,USD,available
Komodo,komodo,KMD,USD,available
Bitcoin Diamond,bitcoin-diamond,BCD,USD,available
Ampleforth,ampleforth,AMPL,USD,available
SingularityNET,singularitynet,AGI,USD,available
Gnosis,gnosis-gno,GNO,USD,available
Stratis,stratis,STRAX,USD,available
Ark,ark,ARK,USD,available
TomoChain,tomochain,TOMO,USD,available
IRISnet,irisnet,IRIS,USD,available
PAC Global,pac-global,PAC,USD,available
Wanchain,wanchain,WAN,USD,available
ABBC Coin,abbc-coin,ABBC,USD,available
district0x,district0x,DNT,USD,available
aelf,aelf,ELF,USD,available
Syscoin,syscoin,SYS,USD,available
ZB Token,zb-token,ZB,USD,available
CyberVein,cybervein,CVT,USD,available
iExec RLC,rlc,RLC,USD,available
Loom Network,loom-network,LOOM,USD,available
Haven Protocol,haven-protocol,XHV,USD,available
Power Ledger,power-ledger,POWR,USD,available
Unibright,unibright,UBT,USD,available
Hellenic Coin,helleniccoin,HNC,USD,available
Populous,populous,PPT,USD,available
Bytom,bytom,BTM,USD,available
AdEx Network,adx-net,ADX,USD,available
Divi,divi,DIVI,USD,available
Centrality,centrality,CENNZ,USD,available
Request,request,REQ,USD,available
EFFORCE,efforce,WOZX,USD,available
ReddCoin,redd,RDD,USD,available
Aion,aion,AION,USD,available
Gas,gas,GAS,USD,available
Elastos,elastos,ELA,USD,available
LBRY Credits,library-credit,LBC,USD,available
Energi,energi,NRG,USD,available
Streamr,streamr,DATA,USD,available
MonaCoin,monacoin,MONA,USD,available
WazirX,wazirx,WRX,USD,available
Gemini Dollar,gemini-dollar,GUSD,USD,available
Metal,metal,MTL,USD,available
Refereum,refereum,RFR,USD,available
Selfkey,selfkey,KEY,USD,available
SOLVE,solve,SOLVE,USD,available
Ignis,ignis,IGNIS,USD,available
Zenon,zenon,ZNN,USD,available
Nimiq,nimiq,NIM,USD,available
Waltonchain,waltonchain,WTC,USD,available
NKN,nkn,NKN,USD,available
DREP,drep,DREP,USD,available
Beam,beam,BEAM,USD,available
Bytecoin,bytecoin-bcn,BCN,USD,available
Bluzelle,bluzelle,BLZ,USD,available
Cartesi,cartesi,CTSI,USD,available
Sentinel Protocol,sentinel-protocol,UPP,USD,available
Nexus,nexus,NXS,USD,available
KuCoin Shares,kucoin-shares,KCS,USD,available
Firo,firo,FIRO,USD,available
ARPA Chain,arpa-chain,ARPA,USD,available
AirSwap,airswap,AST,USD,available
Endor Protocol,endor-protocol,EDR,USD,available
NULS,nuls,NULS,USD,available
Function X,function-x,FX,USD,available
WaykiChain,waykichain,WICC,USD,available
PIVX,pivx,PIVX,USD,available
RChain,rchain,REV,USD,available
Constellation,constellation,DAG,USD,available
Switcheo,switcheo,SWTH,USD,available
Phoenix Global,phoenix-global,PHB,USD,available
Dragonchain,dragonchain,DRGN,USD,available
pNetwork,pnetwork,PNT,USD,available
Fusion,fusion,FSN,USD,available
Groestlcoin,groestlcoin,GRS,USD,available
Quantstamp,quantstamp,QSP,USD,available
Cindicator,cindicator,CND,USD,available
FIO Protocol,fio-protocol,FIO,USD,available
Cortex,cortex,CTXC,USD,available
Ripio Credit Network,ripio-credit-network,RCN,USD,available
Cocos-BCX,cocos-bcx,COCOS,USD,available
Sport and Leisure,sport-and-leisure,SNL,USD,available
Measurable Data Token,measurable-data-token,MDT,USD,available
Einsteinium,einsteinium,EMC2,USD,available
v.systems,v-systems,VSYS,USD,available
Aeternity,aeternity,AE,USD,available
GameCredits,gamecredits,GAME,USD,available
Aurora,aurora,AOA,USD,available
Zap,zap,ZAP,USD,available
GXChain,gxchain,GXC,USD,available
VITE,vite,VITE,USD,available
Enzyme Finance,melon,MLN,USD,available
LockTrip,lockchain,LOC,USD,available
Lympo,lympo,LYM,USD,available
STASIS EURO,stasis-euro,EURS,USD,available
Dock,dock,DOCK,USD,available
Kleros,kleros,PNK,USD,available
Nebulas,nebulas-token,NAS,USD,available
GoChain,gochain,GO,USD,available
MCO,crypto-com,MCO,USD,available
Navcoin,nav-coin,NAV,USD,available
Propy,propy,PRO,USD,available
Skycoin,skycoin,SKY,USD,available
CasinoCoin,casinocoin,CSC,USD,available
Dentacoin,dentacoin,DCN,USD,available
HyperCash,hypercash,HC,USD,available
BTU Protocol,btu-protocol,BTU,USD,available
DMarket,dmarket,DMT,USD,available
Mithril,mithril,MITH,USD,available
Nxt,nxt,NXT,USD,available
Phantasma,phantasma,SOUL,USD,available
LATOKEN,latoken,LA,USD,available
0Chain,0chain,ZCN,USD,available
Steem Dollars,steem-dollars,SBD,USD,available
Wirex Token,wirex-token,WXT,USD,available
Flexacoin,flexacoin,FXC,USD,available
Sentivate,sentivate,SNTVT,USD,available
All Sports,all-sports,SOC,USD,available
Neblio,neblio,NEBL,USD,available
Apollo Currency,apollo-currency,APL,USD,available
Crypterium,crpt,CRPT,USD,available
Grin,grin,GRIN,USD,available
Project Pai,project-pai,PAI,USD,available
Presearch,presearch,PRE,USD,available
Vertcoin,vertcoin,VTC,USD,available
Wabi,wabi,WABI,USD,available
Veritaseum,veritaseum,VERI,USD,available
Nucleus Vision,nucleus-vision,NCASH,USD,available
Ambrosus,amber,AMB,USD,available
TenX,tenx,PAY,USD,available
Raiden Network Token,raiden-network-token,RDN,USD,available
TokenClub,tokenclub,TCT,USD,available
BnkToTheFuture,bnktothefuture,BFT,USD,available
Bankera,bankera,BNK,USD,available
DigixDAO,digixdao,DGD,USD,available
